"Dim.1"	"Dim.2"	"Dim.3"	"Dim.4"	"Dim.5"
"population"	0.750817590371408	1.0013050957286	0.131471183270872	6.63646308775929	0.204633740454806
"pct_white"	0.0137193330557863	3.30720233076759	3.59032991151194	2.10438255857182	7.78905035238894
"pct_black"	0.0298513182760166	1.26878989199693	10.2806946055506	0.227945148713553	4.61535131536601
"pct_native"	1.83143767121993	0.0506035451327105	4.47709671649741	1.95872766381218	0.0220978602642138
"pct_asian"	2.8932197435479	3.2472568638958	0.450407244358214	1.76416525284915	0.0781677492173445
"pct_pacific_islander"	0.0137524383086833	0.424929450651789	0.0683677950181464	5.05192831547759	0.537988816030309
"pct_race_other"	0.000830045056470439	1.24617950709435	5.31835177174422	0.0736033285215213	4.93889751409822
"pct_hispanic_latinx"	0.117172623787335	2.17043028930662	6.21603028679358	0.225081352522302	4.8077040421425
"pct_commute_drive"	1.09169048909911	3.99660880782709	0.168953561531039	4.21055312646313	3.0063605008663
"pct_commute_carpool"	0.111763057848235	0.00946482368306521	0.357887054985478	0.742340387741725	7.33726576456935
"pct_commute_public"	1.8398020100881	3.32967548178945	0.209951161754313	0.0317858695458478	1.28752386743991
"pct_commute_walk"	0.046449837135008	3.4290566442116	0.000512684258829509	8.94032085030293	1.97316754267489
"pct_commute_other"	0.0746010192247609	1.77066441100144	3.15650828450383	0.810314875144816	3.79220992676016
"pct_work_home"	1.28194705372503	0.275865370259742	0.451141676076179	3.94161634398973	1.27003332860648
"commute_time_mean"	0.891727583982242	2.86562256482797	1.50414045682075	0.869884892347773	6.16201183723693
"median_income"	5.27301966057637	0.169973179226586	0.869896288494354	1.1473955766967	0.73447356150185
"pct_private_health_ins"	5.37117509367373	0.292460054250535	0.0173962028204734	0.288461855707375	0.740884330715268
"pct_public_health_ins"	4.73798537428591	0.264894311780365	1.12456599725233	0.167180339215822	0.0481927897761661
"pct_no_health_ins"	3.00318302201981	0.666481207818596	2.10474757198306	0.631318915917943	2.09640497588375
"pct_impoverished"	3.99212663632473	2.24478005235746	0.573334395349303	0.0714011494704249	0.0221608827574719
"pct_owner_occupied_homes"	0.00016672724462251	11.5072755299614	0.483994548951262	0.00397434294780068	0.321263658539047
