"population"	"pct_white"	"pct_black"	"pct_native"	"pct_asian"	"pct_pacific_islander"	"pct_race_other"	"pct_hispanic_latinx"	"pct_commute_drive"	"pct_commute_carpool"	"pct_commute_public"	"pct_commute_walk"	"pct_commute_other"	"pct_work_home"	"commute_time_mean"	"median_income"	"pct_private_health_ins"	"pct_public_health_ins"	"pct_no_health_ins"	"pct_impoverished"	"pct_owner_occupied_homes"	"pct_attained_hs"	"pct_some_college"	"pct_associates"	"pct_bachelors"	"pct_grad_degree"	"pct_hs_or_higher"	"pct_enrolled_prek"	"pct_enrolled_elementary_middle"	"pct_enrolled_hs"	"pct_less_than_hs"	"pct_fair_poor_health"	"teen_birth_rate"	"pcp_ratio"	"preventable_hosp_rate"	"pct_unemployed"	"pct_children_poverty"	"income_ratio"	"social_assoc_rate"	"air_pollution"	"water_violations"	"severe_housing_problems"	"pct_food_insecure"	"median_income_white"	"median_income_black"	"median_income_hispanic"	"segregation_black_white"	"segregation_white_non"	"pct_rural"	"pct_child_no_ins"	"pct_child_food_insecure"	"child_abuse_rate"	"pct_stayed"	"pct_lib_program_atten"	"lib_visit_rate"	"pct_lib_patrons"	"lib_hours_per_person"	"death_rate"	"missing_lib_atten"	"missing_visit_rate"	"missing_lib_patrons"	"missing_lib_hours"	"missing_water_violations"	"missing_hispanic_income"	"missing_income_black"	"missing_bw_segregation"	"missing_pcp"	"missing_nw_segregation"	"missing_death_rate"	"missing_prev_hosp"
"population"	1	-0.18	0.08	-0.08	0.6	0.12	0.09	0.21	-0.14	0	0.27	-0.04	0.03	0.06	0.04	0.41	0.25	-0.38	-0.11	-0.18	-0.18	-0.47	-0.07	0.01	0.46	0.37	0.29	0.02	-0.04	-0.03	-0.29	-0.23	-0.18	-0.08	-0.2	-0.19	-0.24	-0.15	-0.25	0.24	-0.06	0.15	-0.14	0.43	0.3	0.12	0.18	0.25	-0.4	-0.22	-0.22	-0.13	-0.01	-0.04	-0.06	-0.1	-0.28	-0.24	-0.16	-0.16	-0.16	-0.16	0.03	-0.17	-0.17	-0.16	-0.09	-0.09	-0.08	-0.05
"pct_white"	-0.18	1	-0.88	-0.03	-0.18	-0.1	-0.12	-0.1	0.16	-0.06	-0.19	0	-0.46	0.11	-0.07	0.03	0.15	-0.06	-0.12	-0.26	0.41	0.17	-0.01	0.06	0.02	-0.06	0.22	-0.02	-0.06	-0.15	-0.22	-0.33	-0.13	-0.04	0.15	-0.27	-0.35	-0.14	0.01	-0.03	-0.13	-0.5	-0.53	-0.11	0.03	0	0.19	-0.11	0.28	0.2	0	0.19	0.26	0.12	0.15	0.17	0.32	0.11	-0.06	-0.06	-0.06	-0.06	-0.33	0.02	0.32	0.28	0.01	0.19	0.11	0
"pct_black"	0.08	-0.88	1	-0.35	0.05	0.01	-0.1	-0.12	-0.09	-0.04	0.11	-0.01	0.51	-0.07	0.17	-0.03	0.03	0.06	-0.17	0.14	-0.36	-0.16	0	0.05	-0.05	0.05	-0.21	-0.13	0.08	0.18	0.21	0.07	-0.04	0.18	-0.29	0.28	0.27	0.13	0.06	-0.15	-0.08	0.5	0.43	0.11	-0.02	0.11	-0.32	0.21	-0.21	-0.44	-0.19	-0.43	-0.2	-0.16	-0.22	-0.26	-0.39	-0.16	0.02	0.02	0.02	0.02	0.38	0.14	-0.35	-0.33	0.02	-0.14	-0.13	-0.01
"pct_native"	-0.08	-0.03	-0.35	1	-0.21	0.12	-0.01	-0.03	0.11	0.17	-0.16	-0.05	-0.19	-0.16	-0.23	-0.3	-0.59	0.31	0.71	0.37	0.07	0.37	0.21	-0.08	-0.27	-0.31	-0.06	0.2	0.03	-0.02	0.06	0.64	0.47	-0.25	0.39	0.13	0.32	0.15	-0.14	0.42	0.39	-0.15	0.41	-0.32	-0.31	-0.32	0.32	-0.35	0.15	0.61	0.69	0.64	0.11	-0.07	0.15	0.32	0.32	0.38	0.11	0.11	0.11	0.11	-0.27	-0.25	0.1	0.18	-0.1	-0.1	-0.03	-0.09
"pct_asian"	0.6	-0.18	0.05	-0.21	1	0.15	0.17	0.37	-0.49	-0.06	0.64	0.19	0.12	0.22	0.09	0.67	0.48	-0.66	-0.24	-0.34	-0.33	-0.75	-0.4	-0.13	0.74	0.76	0.42	0.11	-0.11	-0.16	-0.42	-0.34	-0.44	-0.04	-0.31	-0.26	-0.43	-0.16	-0.1	0.21	-0.09	0.28	-0.33	0.68	0.59	0.3	0.01	0.17	-0.57	-0.32	-0.5	-0.31	-0.41	0.18	0.19	-0.05	-0.34	-0.44	-0.06	-0.06	-0.06	-0.06	0.34	-0.17	-0.16	-0.15	0	0	-0.08	0.28
"pct_pacific_islander"	0.12	-0.1	0.01	0.12	0.15	1	0.03	0.08	0.02	-0.03	0.01	0	0.01	-0.04	-0.11	0.09	0.02	-0.11	0.05	-0.01	-0.15	-0.12	0.07	0.11	0.1	0.09	0.15	-0.08	0.06	-0.1	-0.15	0.05	0.03	-0.19	-0.05	-0.02	-0.04	-0.05	-0.1	0.17	-0.02	0.15	0.06	0.09	0.13	0.02	0.07	0.01	-0.29	-0.04	0.01	0.02	-0.1	-0.02	-0.01	-0.05	-0.21	-0.05	-0.05	-0.05	-0.05	-0.05	0.11	-0.17	-0.15	-0.12	-0.08	-0.09	-0.09	0.05
"pct_race_other"	0.09	-0.12	-0.1	-0.01	0.17	0.03	1	0.84	-0.14	0.26	0.14	-0.03	-0.12	-0.03	-0.2	0.1	-0.03	-0.14	0.17	0	-0.12	-0.19	0.02	-0.24	0.13	0.03	-0.16	0.29	-0.1	-0.02	0.16	0.21	0.25	-0.16	0.2	-0.27	-0.05	-0.14	0.07	-0.21	0.09	-0.07	-0.1	0.1	0.09	-0.07	0.05	-0.05	-0.13	0.31	-0.01	0.21	-0.24	0.18	-0.06	-0.05	0.09	-0.06	-0.05	-0.05	-0.05	-0.05	-0.01	-0.2	0.14	0.09	0.03	0.01	0.32	-0.01
"pct_hispanic_latinx"	0.21	-0.1	-0.12	-0.03	0.37	0.08	0.84	1	-0.28	0.28	0.27	0.03	-0.1	0.07	-0.18	0.24	0.04	-0.34	0.22	-0.09	-0.23	-0.3	-0.11	-0.29	0.3	0.17	-0.05	0.2	-0.17	-0.07	0.05	0.15	0.17	-0.13	0.05	-0.36	-0.16	-0.15	0.06	-0.13	0.07	0.05	-0.18	0.24	0.24	-0.02	0.04	-0.03	-0.28	0.31	-0.11	0.12	-0.33	0.16	-0.02	-0.08	0.06	-0.14	-0.02	-0.02	-0.02	-0.02	0.12	-0.28	0.14	0.06	0.1	-0.04	0.29	0.01
"pct_commute_drive"	-0.14	0.16	-0.09	0.11	-0.49	0.02	-0.14	-0.28	1	-0.34	-0.66	-0.59	-0.36	-0.45	-0.1	-0.3	-0.24	0.39	0.04	0.18	0.43	0.5	0.47	0.38	-0.48	-0.63	-0.18	-0.05	0.15	0.25	0.18	0.08	0.29	-0.06	0.25	0.13	0.14	-0.14	-0.12	-0.05	-0.01	-0.31	0.07	-0.34	-0.16	-0.07	0.14	-0.01	0.26	0.05	0.29	0.19	0.47	-0.16	-0.15	0.01	0.09	0.26	0.09	0.09	0.09	0.09	-0.3	0.11	0.11	0.04	-0.16	-0.02	0.01	-0.24
"pct_commute_carpool"	0	-0.06	-0.04	0.17	-0.06	-0.03	0.26	0.28	-0.34	1	-0.05	-0.13	-0.06	-0.03	0.2	-0.06	-0.23	0.08	0.33	0.05	-0.03	0.07	0.01	-0.04	-0.12	-0.12	-0.19	0.01	0.06	0.04	0.19	0.2	0.17	0.05	0.08	0.03	0.12	-0.01	-0.23	0.1	0.22	0.02	0.04	-0.09	-0.1	-0.08	-0.08	-0.12	0.08	0.2	0.11	0.07	0.04	-0.05	-0.07	0.07	0.09	0.04	-0.01	-0.01	-0.01	-0.01	-0.1	-0.17	-0.01	-0.07	-0.01	-0.17	-0.03	-0.21
